Requirement ID,Requirement type,Actor,Workflow stage,State,Requirement,Business rule,Priority,Release,Acceptance criteria,Source,Status,Notes
FR-07,FR,"Care Coordinator; authorised clinical escalation owner",Work assignment and ageing,"All active canonical states; Clinician Unavailable","Show a current accountable owner, age/due information, blocker and escalation route for each active task.","Deterministic rules may flag/route missing or overdue ownership; they cannot acknowledge, choose a pathway or close work.",Must,Sprint 6,"The prototype shows an owner and next action for active work and exposes an exception/escalation when ownership is missing, expired or unavailable.","Sprint 3 CAP-05/CAP-11; JTBD-15",Reviewed,"Timing thresholds are proposed configuration, not universal SLA."
FR-08,FR,Clinic physician,Follow-up direction,Follow-up Decision Required,"Require the Clinic physician to record clinic management, day-care referral or hospital escalation before downstream handoff preparation.","AI cannot choose or approve the direction or determine urgency.",Must,Sprint 6,"Only the three approved directions are available; the selected direction, authorised actor and supporting rationale/evidence reference are attributable.","Sprint 3 CAP-06; Sprint 4 EVT-11",Reviewed,"Urgent escalation financial branch remains D12/T11U policy-dependent."
FR-09,FR,"Referral Coordinator; Clinic physician",Referral handoff,"Referral Created; Referral Rejected","Allow the Referral Coordinator to prepare and route a complete handoff only after a human-approved referral/escalation direction.","Clinic physician approves clinical content where applicable; a draft is not a package or referral; source records are not written.",Must,Sprint 6,"The handoff view distinguishes draft, package preparation and routing; required fields, destination, owner and missing evidence are visible before routing.","Sprint 3 CAP-12; Sprint 4 EVT-12/EVT-13; AI-02",Reviewed,"Receiving acceptance remains separate."
FR-10,FR,"Receiving team; Referral Coordinator",Receiving response,"Referral Created; Referral Rejected","Record formal receiving-team acceptance or rejection with receiving role, destination and timeframe evidence.","Receiving-team authority is distinct from specialist review; rejection does not automatically redirect the referral.",Must,Sprint 6,"A response records acceptance/rejection, accountable receiving role, destination and timeframe; rejection returns visible human follow-up work.","Sprint 3 JTBD-09/CAP-07; Sprint 4 EVT-14",Reviewed,"No independent facility booking."
FR-11,FR,"Care Coordinator; authorised communication owner; patient/caregiver where applicable",Next-step confirmation,Next Step Confirmed,"Allow the Care Coordinator to record Next Step Confirmed only after required pathway evidence is visible.","Confirmation requires human direction, applicable handoff/receiving evidence, accountable owner, timeframe and approved communication; delivery and explicit confirmation remain distinct where policy requires confirmation.",Must,Sprint 6,"AC-FR-11-01 to AC-FR-11-03 in acceptance catalogue.","Sprint 1 T11/T11U; Sprint 3 CAP-07; Sprint 4 EVT-16 to EVT-18",Reviewed,"D12 remains represent-only policy context; scoped closure is FR-30."
FR-12,FR,"Care Coordinator; accountable exception role",Exception queue,"Patient Match Failed; Encounter Missing; Result Incomplete; Duplicate Event Suspected; Clinician Unavailable; Referral Rejected","Provide an exception queue and detail view containing reason, owner, safe action, prohibited action, safe-return condition and audit trail.","Exception resolution is performed by the accountable human role; the Care Coordinator coordinates but does not gain clinical or identity authority.",Must,Sprint 6,"Each represented failure path displays required fields and an explicit return-to-last-verified-state or human-resolution path.","Sprint 3 CAP-08; Sprint 2 failure-path map; Sprint 4 recovery matrix",Reviewed,"Exact screen treatment in Part 3."
FR-13,FR,"Care Coordinator; Product/platform administrator",Deterministic detection,"All active canonical states; exception states","Detect missing owner, overdue acknowledgement, missing handoff evidence, duplicate/incomplete data, stale work and unavailable service using deterministic workflow rules.","Detection creates visible task/exception evidence only; it cannot make a clinical, identity, financial, referral or closure decision.",Must,Sprint 6,"Each represented condition has a visible reason, owner and safe return condition; no AI anomaly-detection claim is made.","Sprint 3 CAP-11; Sprint 4 S4-AD05",Reviewed,"Rule thresholds documented in Part 2."
FR-14,FR,"All authorised actors; Governance",Audit and trace,All material workflow stages,"Present attributable, append-oriented workflow and audit history for material state changes, human decisions, AI activity, exceptions, communications, corrections and recovery.","Corrections create linked entries; failed/unavailable source actions are recorded as such and never as success.",Must,Sprint 6,"Timeline entries show actor/source, timestamp, event/outcome and appropriate source/version reference; corrections preserve earlier history.","Sprint 3 CAP-09; Sprint 4 audit contract; EVT-01 to EVT-22",Reviewed,"Target behaviour; no immutable-store claim."
FR-15,FR,"Clinic physician; Care Coordinator",Optional AI summary,Result Available,"Provide a source-linked episode-summary draft only after verified linkage and approved minimum source evidence are available.","Output is orientation-only, includes source versions and uncertainty, and may be accepted for orientation, corrected, rejected, discarded or superseded; it has no direct state effect.",Should,Sprint 6,"The sample summary visibly labels draft status, source links and uncertainty; reviewer disposition is recorded and source review remains available.","Sprint 3 CAP-10; Sprint 4 AI-01/EVT-20",Reviewed,"Controlled synthetic demonstration; non-blocking."
FR-16,FR,"Referral Coordinator; Clinic physician",Optional AI handoff draft,"Follow-up Decision Required; Referral Created","Provide an editable source-linked referral-handoff draft only after a valid human referral/escalation direction.","The draft may not create, send, approve, accept, reject, redirect or cancel a referral; stale inputs require regeneration or source-based human review.",Should,Sprint 6,"The sample draft shows required-field completeness, source links/versions and a human review disposition before package preparation.","Sprint 3 CAP-12; Sprint 4 AI-02/EVT-20",Reviewed,"Controlled synthetic demonstration; no model call."
NFR-01,NFR,All authorised actors,Data protection,All stages,"Limit synthetic source reads, internal workflow data, audit evidence and AI inputs to minimum necessary information for the stated workflow job.","Do not retain raw SMART/OAuth data, secrets, full authorisation responses, unverified candidates or full longitudinal clinical content.",Must,Sprint 6,"Displayed source-context and AI/audit examples contain only approved synthetic minimum data and references; prohibited sensitive artefacts are absent.","Sprint 3 permissions assumptions; Sprint 4 AP-09/AI cards",Reviewed,"Prototype uses synthetic Asha Mehta data only."
NFR-02,NFR,All authorised actors,System integrity,All stages,"Keep source-system authority, internal-task separation and no-source-write boundary explicit in all prototype behaviours.","The six source FHIR-shaped resources are read-only; internal/simulated continuum_task is separate and is not claimed as FHIR-conformant.",Must,Sprint 6,"No screen or scenario presents a ContinuumOS source-record edit or source write-back; internal workflow actions are labelled as such.","Sprint 3 FHIR map/integration flow; Sprint 4 S4-AD02/S4-AD03/S4-AD13",Reviewed,"Technical representation only."
NFR-03,NFR,All authorised actors,Recovery and idempotency,All stages,"Ensure represented duplicate, retry, correction and outage behaviours preserve the last verified state and do not advance work twice.","Use semantic event identity and linked correction/recovery evidence; restored service must not replay an unverified action.",Must,Sprint 6,"Failure scenarios visibly distinguish pending, failed, recovered and duplicate conditions and avoid duplicate transition or success presentation.","Sprint 4 event catalogue and recovery rules; AP-10",Reviewed,"No broker or exactly-once implementation claim."
TR-01,TR,"Clinic physician; Product/platform administrator",Launch and source context,Launch context,"Use a simulated SMART-on-FHIR launch and synthetic FHIR R4-shaped Patient, Encounter, ServiceRequest, DiagnosticReport, Observation and Practitioner resources.","SMART is clinician-only; operations use separately authorised access; candidate scopes are read-only.",Must,Sprint 6,"Prototype documentation and screens identify simulated/read-only access and use only the six approved source-resource types.","Sprint 3 FHIR map/permissions; Sprint 4 SMART sequence/fixtures",Reviewed,"No live conformance claim."
TR-02,TR,Product/platform administrator,Internal orchestration,All workflow states,"Represent internal workflow tasks, exceptions and audit evidence separately from synthetic source resources.","Internal task/workflow evidence may support orchestration only and cannot silently correct or overwrite a source record.",Must,Sprint 6,"Prototype labels internal task/exception/audit records as ContinuumOS orchestration evidence and preserves source references/versions.","Sprint 3 integration flow; Sprint 4 S4-AD03/S4-AD13",Reviewed,"Data and screen-field mapping in Part 2."
FR-17,FR,"Clinic physician; Care Coordinator",Episode initiation,Order Created,"Create an internal orchestration episode only when a verified source diagnostic order and verified linkage evidence are available.","ContinuumOS records the source order; it does not create the clinical order or silently attach uncertain patient/encounter context.",Must,Sprint 6,"A verified source order creates a visible internal episode with source order reference and linkage status; uncertainty routes to Patient Match Failed or Encounter Missing.","Sprint 1 T01/E01/E02; Sprint 2 DR01/DR02/operating control Order Created",Reviewed,"Closes the episode-initiation gap identified in Part 1 review."
FR-18,FR,Diagnostic operations user,Diagnostic acceptance,Order Accepted,"Record diagnostic-provider acceptance from verified source evidence and make outstanding clarification visible.","Only the diagnostic operations user/source system accepts diagnostic work; ContinuumOS records the event and cannot accept on the provider's behalf.",Must,Sprint 6,"A verified acceptance event updates visible operational status with actor, timestamp, reason where present and source reference; absent or rejected evidence remains unresolved.","Sprint 1 T01; Sprint 2 DR04/operating control Order Accepted",Reviewed,"Acceptance remains distinct from scheduling."
FR-19,FR,"Diagnostic operations user; Care Coordinator",Scheduling,Diagnostic Scheduled,"Display verified appointment or diagnostic-slot status and the operational disposition for scheduled, rescheduled, cancelled or no-show work.","ContinuumOS displays source appointment status and tasks; it cannot confirm attendance, infer completion or independently schedule care.",Should,Sprint 6,"The prototype distinguishes scheduled, cancelled, no-show and rescheduling context from Diagnostic Completed and retains order reference, status history and owner.","Sprint 1 T02; Sprint 2 DR05/operating control Diagnostic Scheduled; exception workflow",Reviewed,"Represent-only scheduling interaction; status/context is in scope."
FR-20,FR,"Diagnostic operations user; Care Coordinator",Diagnostic completion,Diagnostic Completed,"Record diagnostic completion from verified source evidence and create visible overdue-result follow-up when a current result does not arrive.","Completion is not result availability. An overdue result remains in Diagnostic Completed with escalation; Integration Unavailable is used only when an outage is evidenced.",Must,Sprint 6,"The prototype shows verified completion evidence, source status and an overdue-result action without presenting a result or closing the episode.","Sprint 1 T03; Sprint 2 DR06/operating control Diagnostic Completed; exception workflow Result never arrives",Reviewed,"No inference of source outage or result availability."
FR-21,FR,"Care Coordinator; Clinic physician",Review-task assignment,Result Available; Clinical Review Pending,"Create and display an acknowledgement task for the current report version when Result Available is established.","The task contains the owner, due/age context, current report version and source links; it does not clinically interpret the report or acknowledge it.",Must,Sprint 6,"Result Available creates visible Clinical Review Pending work for the authorised Clinic physician; the task becomes stale and re-review is required when the current report version changes.","Sprint 1 T04/T05; Sprint 2 DR07/DR18 and operating controls Result Available/Clinical Review Pending",Reviewed,"Separates availability from review and acknowledgement."
FR-22,FR,"Clinic physician; Care Coordinator",Clinic-management branch,"Follow-up Decision Required; Next Step Confirmed","When clinic management is selected, record the human direction and establish the accountable next-step owner, timeframe, task and required communication evidence before confirmation.","Clinic management is a valid human-selected path; it is not a default outcome and cannot be inferred by ContinuumOS or AI.",Must,Sprint 6,"The prototype presents a clinic-management path with recorded physician direction, owner, timeframe, next task and applicable communication evidence before Next Step Confirmed.","Sprint 1 T08/T11/T14; Sprint 2 happy-path steps 8-9 and operating controls",Reviewed,"Closes the explicit clinic-management branch gap."
FR-23,FR,"Billing/pre-authorisation user; authorised financial decision-maker; Care Coordinator",Represent-only financial dependency,"Financial Readiness Pending; Payer Information Missing; Authorisation Denied","Represent financial readiness as a visible dependency after applicable clinical/referral prerequisites, including the approved urgent-escalation exception.","ContinuumOS does not infer coverage or authorise finances. For urgent human-approved hospital escalation, Next Step Confirmed may be recorded while Financial Readiness Pending remains visible and unresolved under D12/T11U.",Should,Roadmap,"Not a Sprint 6 acceptance item; retain only as future/represent-only traceability.","Sprint 1 T12/T13/T11U/E10/E11/E12; Sprint 2 DR15/DR16/DR17 and exception workflow",Deferred,"Deferred from clickable MVP; no payer or authorisation workflow build."
FR-24,FR,"Authorised communication owner; Clinic physician; Care Coordinator",Communication evidence,Next Step Confirmed,"Record applicable approved patient/caregiver communication separately from delivery and explicit confirmation evidence.","The authorised sender and any physician approval for clinically contextual content must be attributable. Delivery alone does not prove understanding or confirmation where confirmation is required.",Must,Sprint 6,"The prototype distinguishes approved communication, sender, delivery status and applicable explicit confirmation; closure checks show which evidence is required for the pathway.","Sprint 1 T14/D17; Sprint 2 DR14/DR19 and operating control Next Step Confirmed; Sprint 4 AP-10",Reviewed,"Does not introduce a patient-facing workflow."
FR-25,FR,"Diagnostic operations user; Clinic physician; Care Coordinator",Report amendment and reassessment,Amended Result Received,"When an amended or corrected current report arrives, preserve prior acknowledgement as historical evidence, create renewed review work and flag dependent direction/handoff/communication for human reassessment.","A prior acknowledgement cannot satisfy the new version. No downstream action is automatically cancelled, redirected or resent.",Must,Sprint 6,"The amended-result scenario shows new version context, re-review work and visible reassessment flags while retaining prior audit history.","Sprint 1 E05/E06; Sprint 2 exception workflow; Sprint 4 report-version change contract",Reviewed,"Expands the version rule beyond acknowledgement alone."
FR-26,FR,"Diagnostic operations user; Care Coordinator; Clinic physician",Operational exception handling,"Result Incomplete; Integration Unavailable; Diagnostic Scheduled; Diagnostic Completed","Represent cancellation, no-show, test-not-performed, diagnostic-provider order rejection and overdue/no-result as distinct operational conditions with owner, reason and safe human next action.","No operational condition may be treated as completion, result availability, referral direction or closure. A new clinical direction remains human-owned.",Should,Roadmap,"Not a Sprint 6 acceptance item unless a scenario is explicitly selected in Part 3.","Sprint 1 E03/E04/E07; Sprint 2 exception workflow and operating controls",Deferred,"Deferred from clickable MVP; generic exception handling remains FR-12/FR-13."
FR-27,FR,"Receiving team; Referral Coordinator; Clinic physician",Referral rejection and recovery,Referral Rejected,"When the Receiving team rejects a referral/handoff, record the rejection reason and return visible work to the Clinic physician for a new human follow-up direction.","ContinuumOS, AI and the Referral Coordinator cannot automatically redirect the referral or choose an alternative clinical pathway.",Must,Sprint 6,"The prototype records receiving response and reason, preserves the original handoff history, and returns the episode to Follow-up Decision Required for physician action.","Sprint 1 E08/E09; Sprint 2 DR11 and exception workflow Referral rejected",Reviewed,"Completes the rejection recovery branch."
FR-28,FR,"Clinic physician; Care Coordinator",Financial-denial clinical recovery,"Authorisation Denied; Follow-up Decision Required","When represented financial authorisation is denied, keep the denial evidence visible and require a Clinic physician to record any alternative clinical pathway.","Financial denial does not independently confirm a next step, authorise care or let AI select an alternative.",Should,Roadmap,"Not a Sprint 6 acceptance item; retain only as future/represent-only traceability.","Sprint 1 E11/E12; Sprint 2 DR16/DR17 and exception workflow Authorisation denied",Deferred,"Deferred from clickable MVP; financial-denial recovery remains a roadmap control."
US-01,User story,Clinic physician,Episode initiation and direction,"Order Created; Follow-up Decision Required","As a Clinic physician, I want the verified source order and current report context visible so that I can make and record the required human clinical direction without relying on an AI output.","Clinical order creation and direction remain human-controlled; source records remain authoritative.",Must,Sprint 6,"Walkthrough covers verified order context and an attributable physician choice of clinic management, day-care referral or hospital escalation.","Sprint 1 T01/T08; Sprint 2 DR01/DR10",Reviewed,"Maps to FR-17 and FR-08."
US-02,User story,Identity reconciliation reviewer,Linkage verification,"Patient Match Failed; Encounter Missing","As an Identity reconciliation reviewer, I want uncertain patient or encounter linkage quarantined with its source evidence so that I can confirm or reject attachment safely.","No autonomous or silent attachment is permitted.",Must,Sprint 6,"Walkthrough shows a human resolution or rejection path with reviewer, timestamp and safe return condition.","Sprint 1 E01/E02; Sprint 2 DR03",Reviewed,"Maps to FR-03."
US-03,User story,Diagnostic operations user,Diagnostic operations,"Order Accepted; Diagnostic Scheduled; Diagnostic Completed; Result Incomplete","As a Diagnostic operations user, I want acceptance, scheduling, completion and operational exceptions shown separately so that workflow status reflects verified source reality.","Operational status cannot be treated as report availability or clinical review.",Must,Sprint 6,"Walkthrough distinguishes acceptance, schedule, completion, incomplete/no-result and source evidence.","Sprint 1 T01/T02/T03/E03/E04; Sprint 2 DR04/DR05/DR06",Reviewed,"Maps to FR-18 through FR-20 and FR-26."
US-04,User story,Clinic physician,Clinical review,"Result Available; Clinical Review Pending; Result Acknowledged; Amended Result Received","As a Clinic physician, I want the current report version and my acknowledgement task clearly shown so that I can review and acknowledge the correct version and re-review amendments.","AI cannot acknowledge or determine clinical significance; prior acknowledgement does not transfer to an amended version.",Must,Sprint 6,"Walkthrough shows Result Available, assigned review work, attributable acknowledgement and amended-version re-review.","Sprint 1 T04/T05/T06/E05/E06; Sprint 2 DR08/DR09",Reviewed,"Maps to FR-05, FR-06, FR-21 and FR-25."
US-05,User story,Care Coordinator,Operational coordination,"All active states; exception states","As a Care Coordinator, I want an active episode workspace and owned exception work so that I can coordinate blockers, ageing and evidence without taking clinical or identity decisions.","Deterministic controls may flag and route; the Care Coordinator verifies evidence but does not decide clinical safety.",Must,Sprint 6,"Walkthrough shows state, owner, age, blocker, next task, exception reason and safe return condition.","Sprint 1 D02/D10; Sprint 2 DR18/DR19 and operating controls",Reviewed,"Maps to FR-04, FR-07, FR-12 and FR-13."
US-06,User story,Referral Coordinator,Referral handoff,"Referral Created; Referral Rejected","As a Referral Coordinator, I want to prepare, review and route a complete handoff only after physician approval so that receiving-team responsibility can be tracked without AI sending or approving it.","AI may draft after human direction only; a human approves package use and routing.",Must,Sprint 6,"Walkthrough shows approved direction, required fields, draft/package distinction, routing and rejection recovery.","Sprint 1 T09/T10/E08; Sprint 2 DR12/DR13",Reviewed,"Maps to FR-09, FR-16 and FR-27."
US-07,User story,Receiving team,Receiving response,"Referral Created; Referral Rejected; Referral Accepted","As a Receiving-team user, I want to record acceptance or rejection with destination and timeframe so that downstream ownership is explicit.","Receiving-team response is human-controlled and cannot be inferred or redirected automatically.",Must,Sprint 6,"Walkthrough records attributable acceptance/rejection, destination, timeframe and reason where rejected.","Sprint 1 T10/E08/E09; Sprint 2 DR11",Reviewed,"Maps to FR-10 and FR-27."
US-08,User story,"Care Coordinator; authorised communication owner",Confirmation and closure,"Next Step Confirmed; Episode Completed","As a Care Coordinator, I want to verify pathway-specific owner, timeframe, handoff and communication evidence so that I can record a confirmed next step and scoped workflow completion without claiming broader care completion.","Communication delivery and explicit confirmation remain separate where applicable; closure is human-owned and cannot bypass an unresolved safety-blocking exception.",Must,Sprint 6,"Walkthrough shows the evidence checklist, the accountable closer and preserved audit trail for confirmation and completion.","Sprint 1 T11/T14/D17; Sprint 2 DR19 and operating controls",Reviewed,"Maps to FR-11, FR-22 and FR-24."
FR-29,FR,"Care Coordinator; Clinic physician",Follow-up task creation,"Result Acknowledged; Follow-up Decision Required","Open and display a follow-up decision task when the current report version has been acknowledged and no direction is recorded.","The task identifies the accountable Clinic physician, current report/version context and pathway options; task creation does not choose a direction or imply a clinical recommendation.",Must,Sprint 6,"An attributable acknowledgement creates visible Follow-up Decision Required work; the task remains pending until the Clinic physician records an approved direction.","Sprint 1 T07; Sprint 2 operating controls Result Acknowledged/Follow-up Decision Required; DR10",Reviewed,"Closes the explicit T07 transition gap identified in Part 1 validation."
FR-30,FR,Care Coordinator,Scoped workflow closure,Episode Completed,"Allow the Care Coordinator to record Episode Completed only when the confirmed pathway has been handed off or clinic follow-up responsibility is clear and closure evidence is complete.","Closure is human-owned, follows Next Step Confirmed, requires no unresolved safety-blocking exception and ends only the diagnostic-closure workflow—not broader patient care.",Must,Sprint 6,"AC-FR-30-01 to AC-FR-30-03 in acceptance catalogue.","Sprint 1 T14; Sprint 2 DR19/operating control Episode Completed; Sprint 4 EVT-22",Reviewed,"Separated from FR-11 because closure has a distinct evidence gate."
FR-31,FR,"Diagnostic operations user; Clinic physician",Result availability,Result Available,"Establish Result Available only when the approved synthetic-fixture current report status/version, configured result references and separate completion evidence are present.","Completion, scheduling and Observation presence alone do not establish result availability; missing or conflicting evidence routes to Result Incomplete.",Must,Sprint 6,"AC-FR-31-01 to AC-FR-31-03 in acceptance catalogue.","Sprint 1 T04/E04; Sprint 2 DR07; Sprint 4 S4-AD08/EVT-09",Reviewed,"Separates the availability gate from general diagnostic milestone display."
FR-32,FR,"Diagnostic operations user; Clinic physician; Care Coordinator",Report-version integrity,"Result Available; Amended Result Received","Preserve the current report version and source provenance across review, downstream direction, handoff and communication evidence.","A changed version marks dependent work stale for human reassessment; no prior acknowledgement or derived content silently transfers to the new version.",Must,Sprint 6,"AC-FR-32-01 to AC-FR-32-03 in acceptance catalogue.","Sprint 1 E05/E06; Sprint 2 DR07/DR09; Sprint 4 version-change contract",Reviewed,"Separates version integrity from the result-availability gate."
FR-33,FR,"All authorised actors; Governance",Audit correction and recovery,All material workflow stages,"Record linked correction, supersession, failure and recovery evidence without destructively altering prior workflow history.","A failed or unavailable source action is never represented as success; linked entries preserve logical event, actor, timestamp and source/version context.",Must,Sprint 6,"AC-FR-33-01 to AC-FR-33-03 in acceptance catalogue.","Sprint 1 D16/D17; Sprint 3 CAP-09; Sprint 4 audit contract/EVT-21",Reviewed,"Separates audit correction/recovery from timeline visibility."
NFR-04,NFR,All authorised actors,Accessibility,All stages,"The clickable prototype must support keyboard operation, visible focus, logical reading order, text alternatives and non-colour-only status/error meaning for all critical workflow actions.","Accessibility support must not obscure human-control, exception or confirmation information.",Must,Sprint 6,"AC-NFR-04-01 to AC-NFR-04-03 in acceptance catalogue.","Project-local design standards; Sprint 5 scope controls",Reviewed,"Prototype accessibility requirement; detailed checks apply in Sprint 6."
NFR-05,NFR,All authorised actors,Role-based visibility,All stages,"Show each role only the minimum workflow information and actions required for its approved responsibility.","Role visibility does not confer clinical, identity, referral, financial or closure authority; source access remains read-only and scoped.",Must,Sprint 6,"AC-NFR-05-01 to AC-NFR-05-03 in acceptance catalogue.","Sprint 3 permissions assumptions; Sprint 2 decision-rights matrix; Sprint 4 AP-08",Reviewed,"Prototype demonstrates least-privilege behaviour; no production RBAC claim."
NFR-06,NFR,All authorised actors,Error communication,"Integration Unavailable; Result Incomplete; Patient Match Failed","Present errors and blocked states in plain language with the known condition, affected work, safe next action and accountable owner where applicable.","Errors must not imply source success, conceal uncertainty or instruct a user to bypass a human gate.",Must,Sprint 6,"AC-NFR-06-01 to AC-NFR-06-03 in acceptance catalogue.","Sprint 2 failure-path map; Sprint 4 recovery rules",Reviewed,"Applies to represented failures only."
NFR-07,NFR,All authorised actors,Audit completeness,All material workflow stages,"Require the defined audit fields for material workflow, human-decision, AI-review, exception, communication, correction and recovery events.","Required fields include event/state, timestamp, actor/source, applicable role/approval, source reference/version and correction/rejection/override evidence.",Must,Sprint 6,"AC-NFR-07-01 to AC-NFR-07-03 in acceptance catalogue.","Sprint 1 success metrics Audit completeness; Sprint 4 audit contract",Reviewed,"Requirement only; no achieved audit-completeness metric."
NFR-08,NFR,"Clinic physician; Referral Coordinator; Care Coordinator",High-risk action confirmation,"Result Acknowledged; Follow-up Decision Required; Referral Created; Next Step Confirmed; Episode Completed","Require clear review and explicit confirmation before a user records a high-risk human-controlled action.","The confirmation must show the action, current source/version context where applicable, authorised actor and the evidence that will be recorded; it must not substitute for source review.",Must,Sprint 6,"AC-NFR-08-01 to AC-NFR-08-03 in acceptance catalogue.","Sprint 2 DR08 to DR19; Sprint 4 AP-06",Reviewed,"Usability control, not an extra clinical approval."
NFR-09,NFR,All authorised actors,Prototype responsiveness,All interactive prototype screens,"Provide an immediate visible response to a user action or an explicit loading/unavailable state in the clickable prototype.","This is a prototype usability expectation, not a production performance SLA or latency claim.",Should,Sprint 6,"AC-NFR-09-01 to AC-NFR-09-02 in acceptance catalogue.","Sprint 5 prototype-definition decision",Reviewed,"No numeric performance target is claimed."
