"Requirement ID","Parent Requirement ID","Requirement Level","Title","Requirement Description","Requirement Type","Source Artifact","Source ID","Owner","Author","Priority","Business Value / Impact","Target Release","Related User Story ID","Acceptance Criteria Ref","Test Case ID","Test Phase","Defect ID","Status","Sign-off Owner","Creation Date","Last Updated Date","Comments / Remarks","Workflow State or Transition","Decision or Capability ID","Planned Screen ID","Event ID","Data Contract Reference","Prototype Scenario"
"FR-07","BR-03","FR","Work assignment and ageing","Show a current accountable owner, age/due information, blocker and escalation route for each active task.","FR","Sprint 2 DR matrix; Sprint 3 scope freeze","DR18; CAP-05; CAP-11","Care Coordinator; authorised clinical escalation owner","Portfolio product owner","Must","Keeps unsafe, incomplete or failed work visible and recoverable.","Sprint 6","US-05","AC-FR-07-01; AC-FR-07-02","UAT-FR-07","Sprint 6 synthetic prototype/UAT","Not applicable — no test executed","Reviewed","Portfolio product owner — pending Part 3","2026-07-18","2026-07-18","Source aligned; screen/UAT planned","All active states; Clinician Unavailable","CAP-05; CAP-11","SCR-02","EVT-09; EVT-19","continuum_task; owner; SLA; escalation","PS-01; PS-02"
"FR-08","BR-02","FR","Follow-up direction","Require the Clinic physician to record clinic management, day-care referral or hospital escalation before downstream handoff preparation.","FR","Sprint 1 transition table; Sprint 2 DR matrix; Sprint 4 event catalogue","T08; T09; DR10; EVT-11","Clinic physician","Portfolio product owner","Must","Protects human-controlled clinical, referral and closure decisions.","Sprint 6","US-01","AC-FR-08-01; AC-FR-08-02","UAT-FR-08","Sprint 6 synthetic prototype/UAT","Not applicable — no test executed","Reviewed","Portfolio product owner — pending Part 3","2026-07-18","2026-07-18","Source aligned; screen/UAT planned","Follow-up Decision Required","CAP-06","SCR-04","EVT-11","direction; report version; actor; rationale","PS-01"
"FR-09","BR-02","FR","Referral handoff","Allow the Referral Coordinator to prepare and route a complete handoff only after a human-approved referral/escalation direction.","FR","Sprint 1 transition table; Sprint 2 DR matrix; Sprint 4 event catalogue","T09; DR12; DR13; EVT-12; EVT-13","Referral Coordinator; Clinic physician","Portfolio product owner","Must","Protects human-controlled clinical, referral and closure decisions.","Sprint 6","US-06","AC-FR-09-01; AC-FR-09-02","UAT-FR-09","Sprint 6 synthetic prototype/UAT","Not applicable — no test executed","Reviewed","Portfolio product owner — pending Part 3","2026-07-18","2026-07-18","Source aligned; screen/UAT planned","Referral Created","CAP-12; AI-02","SCR-05","EVT-12; EVT-13","referral package; source refs; destination","PS-01; PS-05"
"FR-10","BR-02","FR","Receiving response","Record formal receiving-team acceptance or rejection with receiving role, destination and timeframe evidence.","FR","Sprint 1 transition table; Sprint 2 DR matrix; Sprint 4 event catalogue","T10; E08; DR11; EVT-14","Receiving team; Referral Coordinator","Portfolio product owner","Must","Protects human-controlled clinical, referral and closure decisions.","Sprint 6","US-07","AC-FR-10-01; AC-FR-10-02","UAT-FR-10","Sprint 6 synthetic prototype/UAT","Not applicable — no test executed","Reviewed","Portfolio product owner — pending Part 3","2026-07-18","2026-07-18","Source aligned; screen/UAT planned","Referral Accepted; Referral Rejected","CAP-07","SCR-06","EVT-14","receiving response; destination; timeframe","PS-01"
"FR-11","BR-02","FR","Next-step confirmation","Allow the Care Coordinator to record Next Step Confirmed only after required pathway evidence is visible.","FR","Sprint 1 transition table; Sprint 3 scope freeze; Sprint 4 event catalogue","T11; T11U; CAP-07; EVT-16-EVT-18","Care Coordinator; authorised communication owner; patient/caregiver where applicable","Portfolio product owner","Must","Protects human-controlled clinical, referral and closure decisions.","Sprint 6","US-08","AC-FR-11-01; AC-FR-11-02; AC-FR-11-03","UAT-FR-11","Sprint 6 synthetic prototype/UAT","Not applicable — no test executed","Reviewed","Portfolio product owner — pending Part 3","2026-07-18","2026-07-18","Source aligned; screen/UAT planned","Next Step Confirmed","CAP-07","SCR-10","EVT-16; EVT-17; EVT-18","direction; handoff; owner; timeframe; communication","PS-01"
"FR-12","BR-03","FR","Exception queue","Provide an exception queue and detail view containing reason, owner, safe action, prohibited action, safe-return condition and audit trail.","FR","Sprint 2 failure-path map; Sprint 3 scope freeze; Sprint 4 recovery rules","CAP-08; E01-E09; E13","Care Coordinator; accountable exception role","Portfolio product owner","Must","Keeps unsafe, incomplete or failed work visible and recoverable.","Sprint 6","US-05","AC-FR-12-01; AC-FR-12-02","UAT-FR-12","Sprint 6 synthetic prototype/UAT","Not applicable — no test executed","Reviewed","Portfolio product owner — pending Part 3","2026-07-18","2026-07-18","Source aligned; screen/UAT planned","Exception states","CAP-08","SCR-07","EVT-19; EVT-21","exception; owner; reason; safe return","PS-02; PS-03"
"FR-13","BR-03","FR","Deterministic detection","Detect missing owner, overdue acknowledgement, missing handoff evidence, duplicate/incomplete data, stale work and unavailable service using deterministic workflow rules.","FR","Sprint 3 scope freeze; Sprint 4 architecture boundary","CAP-11; S4-AD05","Care Coordinator; Product/platform administrator","Portfolio product owner","Must","Keeps unsafe, incomplete or failed work visible and recoverable.","Sprint 6","US-05","AC-FR-13-01; AC-FR-13-02","UAT-FR-13","Sprint 6 synthetic prototype/UAT","Not applicable — no test executed","Reviewed","Portfolio product owner — pending Part 3","2026-07-18","2026-07-18","Source aligned; screen/UAT planned","All active states; exceptions","CAP-11","SCR-07","EVT-19","rule id; evaluated refs; owner; reason","PS-02"
"FR-14","BR-01","FR","Audit and trace","Present attributable, append-oriented workflow and audit history for material state changes, human decisions, AI activity, exceptions, communications, corrections and recovery.","FR","Sprint 3 scope freeze; Sprint 4 audit contract","CAP-09; EVT-01-EVT-22","All authorised actors; Governance","Portfolio product owner","Must","Creates bounded workflow visibility without replacing source systems.","Sprint 6","N/A — cross-cutting or business requirement","AC-FR-14-01; AC-FR-14-02","UAT-FR-14","Sprint 6 synthetic prototype/UAT","Not applicable — no test executed","Reviewed","Portfolio product owner — pending Part 3","2026-07-18","2026-07-18","Source aligned; screen/UAT planned","All material stages","CAP-09","SCR-09","EVT-01 to EVT-22","audit event contract","PS-01; PS-02; PS-03; PS-04; PS-05"
"FR-15","BR-04","FR","Optional AI summary","Provide a source-linked episode-summary draft only after verified linkage and approved minimum source evidence are available.","FR","Sprint 3 scope freeze; Sprint 4 AI service cards","CAP-10; AI-01","Clinic physician; Care Coordinator","Portfolio product owner","Should","Allows optional, reviewable AI assistance without autonomous action.","Sprint 6","US-04","AC-FR-15-01; AC-FR-15-02","UAT-FR-15","Sprint 6 synthetic prototype/UAT","Not applicable — no test executed","Reviewed","Portfolio product owner — pending Part 3","2026-07-18","2026-07-18","Source aligned; screen/UAT planned","No direct state effect","CAP-10; AI-01","SCR-08","EVT-20","AI input refs; draft hash; disposition","PS-04"
"FR-16","BR-04","FR","Optional AI handoff draft","Provide an editable source-linked referral-handoff draft only after a valid human referral/escalation direction.","FR","Sprint 3 scope freeze; Sprint 4 AI service cards","CAP-12; AI-02","Referral Coordinator; Clinic physician","Portfolio product owner","Should","Allows optional, reviewable AI assistance without autonomous action.","Sprint 6","US-06","AC-FR-16-01; AC-FR-16-02","UAT-FR-16","Sprint 6 synthetic prototype/UAT","Not applicable — no test executed","Reviewed","Portfolio product owner — pending Part 3","2026-07-18","2026-07-18","Source aligned; screen/UAT planned","No direct state effect","CAP-12; AI-02","SCR-08","EVT-20","direction ref; draft; required fields; disposition","PS-05"
"FR-17","BR-01","FR","Episode initiation","Create an internal orchestration episode only when a verified source diagnostic order and verified linkage evidence are available.","FR","Sprint 1 transition table; Sprint 2 DR matrix","T01; E01; E02; DR01; DR02","Clinic physician; Care Coordinator","Portfolio product owner","Must","Creates bounded workflow visibility without replacing source systems.","Sprint 6","US-01","AC-FR-17-01; AC-FR-17-02","UAT-FR-17","Sprint 6 synthetic prototype/UAT","Not applicable — no test executed","Reviewed","Portfolio product owner — pending Part 3","2026-07-18","2026-07-18","Source aligned; screen/UAT planned","Order Created","CAP-01","SCR-02","EVT-04; EVT-05","ServiceRequest; linkage refs; episode id","PS-01"
"FR-18","BR-01","FR","Diagnostic acceptance","Record diagnostic-provider acceptance from verified source evidence and make outstanding clarification visible.","FR","Sprint 1 transition table; Sprint 2 DR matrix","T01; DR04","Diagnostic operations user","Portfolio product owner","Must","Creates bounded workflow visibility without replacing source systems.","Sprint 6","US-03","AC-FR-18-01; AC-FR-18-02","UAT-FR-18","Sprint 6 synthetic prototype/UAT","Not applicable — no test executed","Reviewed","Portfolio product owner — pending Part 3","2026-07-18","2026-07-18","Source aligned; screen/UAT planned","Order Accepted","CAP-03","SCR-02","EVT-06","acceptance event; order version; actor","PS-01"
"FR-19","BR-01","FR","Scheduling","Display verified appointment or diagnostic-slot status and the operational disposition for scheduled, rescheduled, cancelled or no-show work.","FR","Sprint 1 transition table; Sprint 2 DR matrix","T02; DR05","Diagnostic operations user; Care Coordinator","Portfolio product owner","Should","Creates bounded workflow visibility without replacing source systems.","Sprint 6","US-03","AC-FR-19-01; AC-FR-19-02","UAT-FR-19","Sprint 6 synthetic prototype/UAT","Not applicable — no test executed","Reviewed","Portfolio product owner — pending Part 3","2026-07-18","2026-07-18","Source aligned; screen/UAT planned","Diagnostic Scheduled","CAP-03","SCR-02","EVT-06","appointment/slot status; order ref","PS-01"
"FR-20","BR-03","FR","Diagnostic completion","Record diagnostic completion from verified source evidence and create visible overdue-result follow-up when a current result does not arrive.","FR","Sprint 1 transition table; Sprint 2 DR matrix","T03; DR06","Diagnostic operations user; Care Coordinator","Portfolio product owner","Must","Keeps unsafe, incomplete or failed work visible and recoverable.","Sprint 6","US-03","AC-FR-20-01; AC-FR-20-02","UAT-FR-20","Sprint 6 synthetic prototype/UAT","Not applicable — no test executed","Reviewed","Portfolio product owner — pending Part 3","2026-07-18","2026-07-18","Source aligned; screen/UAT planned","Diagnostic Completed","CAP-03; CAP-11","SCR-02","EVT-06; EVT-19","completion evidence; overdue-result task","PS-01; PS-02"
"FR-21","BR-02","FR","Review-task assignment","Create and display an acknowledgement task for the current report version when Result Available is established.","FR","Sprint 1 transition table; Sprint 2 DR matrix","T04; T05; DR07; DR18","Care Coordinator; Clinic physician","Portfolio product owner","Must","Protects human-controlled clinical, referral and closure decisions.","Sprint 6","US-04","AC-FR-21-01; AC-FR-21-02","UAT-FR-21","Sprint 6 synthetic prototype/UAT","Not applicable — no test executed","Reviewed","Portfolio product owner — pending Part 3","2026-07-18","2026-07-18","Source aligned; screen/UAT planned","Result Available; Clinical Review Pending","CAP-04; CAP-05","SCR-03","EVT-07; EVT-09","report version; owner; assignment; SLA","PS-01; PS-03"
"FR-22","BR-02","FR","Clinic-management branch","When clinic management is selected, record the human direction and establish the accountable next-step owner, timeframe, task and required communication evidence before confirmation.","FR","Sprint 1 transition table; Sprint 2 happy path","T08; T14","Clinic physician; Care Coordinator","Portfolio product owner","Must","Protects human-controlled clinical, referral and closure decisions.","Sprint 6","US-08","AC-FR-22-01; AC-FR-22-02","UAT-FR-22","Sprint 6 synthetic prototype/UAT","Not applicable — no test executed","Reviewed","Portfolio product owner — pending Part 3","2026-07-18","2026-07-18","Source aligned; screen/UAT planned","Next Step Confirmed","CAP-06; CAP-07","SCR-10","EVT-11; EVT-16; EVT-17; EVT-22","direction; clinic owner; timeframe; communication","PS-01"
"FR-23","BR-02","FR","Represent-only financial dependency","Represent financial readiness as a visible dependency after applicable clinical/referral prerequisites, including the approved urgent-escalation exception.","FR","Sprint 1 transition table; Sprint 2 DR matrix","T12; T13; T11U; E10-E12; DR15-DR17","Billing/pre-authorisation user; authorised financial decision-maker; Care Coordinator","Portfolio product owner","Should","Protects human-controlled clinical, referral and closure decisions.","Roadmap","N/A — cross-cutting or business requirement","AC-FR-23-01; AC-FR-23-02","Not planned — deferred","Roadmap — no Sprint 6 test","Not applicable — no test executed","Deferred","Portfolio product owner — pending Part 3","2026-07-18","2026-07-18","Trace retained; excluded from Sprint 6","Financial Readiness Pending; financial exceptions","Represent-only dependency","ROADMAP","EVT-15; EVT-16","financial dependency evidence","ROADMAP"
"FR-24","BR-02","FR","Communication evidence","Record applicable approved patient/caregiver communication separately from delivery and explicit confirmation evidence.","FR","Sprint 1 transition table; Sprint 2 DR matrix; Sprint 4 architecture","T14; D17; DR14; DR19; AP-10","Authorised communication owner; Clinic physician; Care Coordinator","Portfolio product owner","Must","Protects human-controlled clinical, referral and closure decisions.","Sprint 6","US-08","AC-FR-24-01; AC-FR-24-02","UAT-FR-24","Sprint 6 synthetic prototype/UAT","Not applicable — no test executed","Reviewed","Portfolio product owner — pending Part 3","2026-07-18","2026-07-18","Source aligned; screen/UAT planned","Next Step Confirmed","CAP-07","SCR-10","EVT-17; EVT-18","communication approval; delivery; confirmation","PS-01"
"FR-25","BR-03","FR","Report amendment and reassessment","When an amended or corrected current report arrives, preserve prior acknowledgement as historical evidence, create renewed review work and flag dependent direction/handoff/communication for human reassessment.","FR","Sprint 1 transition table; Sprint 4 version-change contract","E05; E06; EVT-08","Diagnostic operations user; Clinic physician; Care Coordinator","Portfolio product owner","Must","Keeps unsafe, incomplete or failed work visible and recoverable.","Sprint 6","US-04","AC-FR-25-01; AC-FR-25-02","UAT-FR-25","Sprint 6 synthetic prototype/UAT","Not applicable — no test executed","Reviewed","Portfolio product owner — pending Part 3","2026-07-18","2026-07-18","Source aligned; screen/UAT planned","Amended Result Received","CAP-03; CAP-04","SCR-03","EVT-08; EVT-09; EVT-10","report versions; stale refs; reassessment","PS-03"
"FR-26","BR-03","FR","Operational exception handling","Represent cancellation, no-show, test-not-performed, diagnostic-provider order rejection and overdue/no-result as distinct operational conditions with owner, reason and safe human next action.","FR","Sprint 2 exception workflow","E03; E04; E07","Diagnostic operations user; Care Coordinator; Clinic physician","Portfolio product owner","Should","Keeps unsafe, incomplete or failed work visible and recoverable.","Roadmap","US-03","AC-FR-26-01; AC-FR-26-02","Not planned — deferred","Roadmap — no Sprint 6 test","Not applicable — no test executed","Deferred","Portfolio product owner — pending Part 3","2026-07-18","2026-07-18","Trace retained; excluded from Sprint 6","Operational conditions","Roadmap detail","ROADMAP","EVT-19","operational condition; reason; owner","ROADMAP"
"FR-27","BR-02","FR","Referral rejection and recovery","When the Receiving team rejects a referral/handoff, record the rejection reason and return visible work to the Clinic physician for a new human follow-up direction.","FR","Sprint 1 transition table; Sprint 2 DR matrix","E08; E09; DR11","Receiving team; Referral Coordinator; Clinic physician","Portfolio product owner","Must","Protects human-controlled clinical, referral and closure decisions.","Sprint 6","US-06; US-07","AC-FR-27-01; AC-FR-27-02","UAT-FR-27","Sprint 6 synthetic prototype/UAT","Not applicable — no test executed","Reviewed","Portfolio product owner — pending Part 3","2026-07-18","2026-07-18","Source aligned; screen/UAT planned","Referral Rejected","CAP-08","SCR-06","EVT-14; EVT-19","rejection response; reason; new direction task","PS-02"
"FR-28","BR-02","FR","Financial-denial clinical recovery","When represented financial authorisation is denied, keep the denial evidence visible and require a Clinic physician to record any alternative clinical pathway.","FR","Sprint 1 transition table; Sprint 2 DR matrix","E11; E12; DR16; DR17","Clinic physician; Care Coordinator","Portfolio product owner","Should","Protects human-controlled clinical, referral and closure decisions.","Roadmap","N/A — cross-cutting or business requirement","AC-FR-28-01; AC-FR-28-02","Not planned — deferred","Roadmap — no Sprint 6 test","Not applicable — no test executed","Deferred","Portfolio product owner — pending Part 3","2026-07-18","2026-07-18","Trace retained; excluded from Sprint 6","Authorisation Denied","Roadmap detail","ROADMAP","EVT-15; EVT-19","financial denial and alternate direction","ROADMAP"
"FR-29","BR-02","FR","Follow-up task creation","Open and display a follow-up decision task when the current report version has been acknowledged and no direction is recorded.","FR","Sprint 1 transition table; Sprint 2 DR matrix","T07; DR10","Care Coordinator; Clinic physician","Portfolio product owner","Must","Protects human-controlled clinical, referral and closure decisions.","Sprint 6","US-01","AC-FR-29-01; AC-FR-29-02","UAT-FR-29","Sprint 6 synthetic prototype/UAT","Not applicable — no test executed","Reviewed","Portfolio product owner — pending Part 3","2026-07-18","2026-07-18","Source aligned; screen/UAT planned","Follow-up Decision Required","CAP-06","SCR-04","EVT-11","decision task; report version; owner","PS-01"
"FR-30","BR-02","FR","Scoped workflow closure","Allow the Care Coordinator to record Episode Completed only when the confirmed pathway has been handed off or clinic follow-up responsibility is clear and closure evidence is complete.","FR","Sprint 1 transition table; Sprint 2 DR matrix; Sprint 4 event catalogue","T14; DR19; EVT-22","Care Coordinator","Portfolio product owner","Must","Protects human-controlled clinical, referral and closure decisions.","Sprint 6","US-08","AC-FR-30-01; AC-FR-30-02; AC-FR-30-03","UAT-FR-30","Sprint 6 synthetic prototype/UAT","Not applicable — no test executed","Reviewed","Portfolio product owner — pending Part 3","2026-07-18","2026-07-18","Source aligned; screen/UAT planned","Episode Completed","CAP-07; CAP-09","SCR-10","EVT-22","closure evidence; closer; unresolved check","PS-01"
"FR-31","BR-01","FR","Result availability","Establish Result Available only when the approved synthetic-fixture current report status/version, configured result references and separate completion evidence are present.","FR","Sprint 1 transition table; Sprint 4 fixture/event contracts","T04; E04; S4-AD08; EVT-07","Diagnostic operations user; Clinic physician","Portfolio product owner","Must","Creates bounded workflow visibility without replacing source systems.","Sprint 6","US-04","AC-FR-31-01; AC-FR-31-02; AC-FR-31-03","UAT-FR-31","Sprint 6 synthetic prototype/UAT","Not applicable — no test executed","Reviewed","Portfolio product owner — pending Part 3","2026-07-18","2026-07-18","Source aligned; screen/UAT planned","Result Available","CAP-03","SCR-03","EVT-07","DiagnosticReport; Observation refs; completion evidence","PS-01; PS-02"
"FR-32","BR-03","FR","Report-version integrity","Preserve the current report version and source provenance across review, downstream direction, handoff and communication evidence.","FR","Sprint 1 transition table; Sprint 4 version-change contract","E05; E06; EVT-08","Diagnostic operations user; Clinic physician; Care Coordinator","Portfolio product owner","Must","Keeps unsafe, incomplete or failed work visible and recoverable.","Sprint 6","US-04","AC-FR-32-01; AC-FR-32-02; AC-FR-32-03","UAT-FR-32","Sprint 6 synthetic prototype/UAT","Not applicable — no test executed","Reviewed","Portfolio product owner — pending Part 3","2026-07-18","2026-07-18","Source aligned; screen/UAT planned","Result Available; Amended Result Received","CAP-03; CAP-04","SCR-03","EVT-08","report id/version; provenance; stale refs","PS-03"
"FR-33","BR-01","FR","Audit correction and recovery","Record linked correction, supersession, failure and recovery evidence without destructively altering prior workflow history.","FR","Sprint 3 scope freeze; Sprint 4 audit contract","CAP-09; EVT-21","All authorised actors; Governance","Portfolio product owner","Must","Creates bounded workflow visibility without replacing source systems.","Sprint 6","US-05","AC-FR-33-01; AC-FR-33-02; AC-FR-33-03","UAT-FR-33","Sprint 6 synthetic prototype/UAT","Not applicable — no test executed","Reviewed","Portfolio product owner — pending Part 3","2026-07-18","2026-07-18","Source aligned; screen/UAT planned","All material stages","CAP-09","SCR-09","EVT-21","correction; supersession; recovery refs","PS-02; PS-03"
"NFR-01","BR-01","NFR","Data protection","Limit synthetic source reads, internal workflow data, audit evidence and AI inputs to minimum necessary information for the stated workflow job.","NFR","Sprint 3 permissions; Sprint 4 architecture/AI controls","AP-09; D15","All authorised actors","Portfolio product owner","Must","Creates bounded workflow visibility without replacing source systems.","Sprint 6","N/A — cross-cutting or business requirement","AC-NFR-01-01; AC-NFR-01-02","UAT-NFR-01","Sprint 6 synthetic prototype/UAT","Not applicable — no test executed","Reviewed","Portfolio product owner — pending Part 3","2026-07-18","2026-07-18","Source aligned; cross-cutting UAT planned","All stages","Minimum necessary","ALL","EVT-01 to EVT-22","synthetic minimum data; no tokens/secrets","PS-01 to PS-05"
"NFR-02","BR-01","NFR","System integrity","Keep source-system authority, internal-task separation and no-source-write boundary explicit in all prototype behaviours.","NFR","Sprint 3 FHIR map; Sprint 4 architecture","S4-AD02; S4-AD03; S4-AD13","All authorised actors","Portfolio product owner","Must","Creates bounded workflow visibility without replacing source systems.","Sprint 6","N/A — cross-cutting or business requirement","AC-NFR-02-01; AC-NFR-02-02","UAT-NFR-02","Sprint 6 synthetic prototype/UAT","Not applicable — no test executed","Reviewed","Portfolio product owner — pending Part 3","2026-07-18","2026-07-18","Source aligned; cross-cutting UAT planned","All stages","Source authority","ALL","EVT-03 to EVT-22","six source resources; continuum_task","PS-01 to PS-05"
