Data field group ID,Display name,Business meaning,Source system or owner,FHIR or internal field,Required or optional,Read-only or editable,Authorised roles,Validation,Missing-data behaviour,Audit requirement,Screen-field coverage,Flow or event reference,Source,Status
FM-14,Report and configured fixture result references,Links report to source order and configured supporting evidence for completeness and source-linked review,Authorised reporting source,"DiagnosticReport.basedOn; DiagnosticReport.result; referenced Observation.id status and version where configured",Required for the approved T04 fixture check,Read-only,"Clinic physician views and validates; Care Coordinator views status; diagnostic source corrects",Order link and configured references must resolve; this does not assert all DiagnosticReports require Observation references,Route missing inconsistent or unexpected configured references to Result Incomplete,"EVT-07 result-reference check; AI provenance references","SCR-02 V/B; SCR-03 V/B; SCR-05 V/B; SCR-07 E; SCR-08 V/B; SCR-09 A",T04 Result Available; source-linked AI inputs; EVT-07,Sprint 3 FM-14; Sprint 1 T04 E04; Sprint 4 fixture and AI contracts,Reviewed
FM-15,Report performer context,Reporting-professional reference attributes the source report without granting review authority,Authorised reporting source,"DiagnosticReport.performer",Optional where available,Read-only,"Clinic physician and authorised reviewers view; reporting source corrects",Performer is source attribution only and never substitutes for the assigned reviewing clinician,Show missing performer context as a visible data-quality issue,"Source performer reference retained with report event and audit","SCR-03 V; SCR-09 A",Clinical Review Pending and amended-result context,Sprint 3 FM-15; Sprint 3 stakeholder map,Reviewed
FM-16,Workflow state,One canonical ContinuumOS state coordinates the episode without replacing source clinical records,ContinuumOS workflow layer,"continuum_episode.state",Required for every active episode,Internal read and controlled write,"Authorised human actions and deterministic rules advance only permitted transitions; Care Coordinator views and coordinates",State must be one approved canonical value with valid prior state evidence,Block invalid transition; recover only to last verified valid state,"Every material state transition records state before after actor evidence and time","SCR-02 V; SCR-03 V; SCR-04 V/E; SCR-05 V; SCR-06 V/E; SCR-07 V/E; SCR-09 A; SCR-10 V/E",All canonical states; approved transitions; EVT-04 to EVT-22,Sprint 3 FM-16; Sprint 1 state model; Sprint 4 event catalogue,Reviewed
FM-17,Episode linkage,Internal reference connects a verified patient and encounter to the orchestration episode,ContinuumOS after human reconciliation,"continuum_episode.patient_ref; continuum_episode.encounter_ref",Required for a valid active episode,Internal read and controlled write,"Identity reconciliation reviewer establishes verification; Care Coordinator views and coordinates",Both references must be verified before episode validity,Block or quarantine uncertain linkage; no production identity matching,"EVT-04 decision and internal episode reference","SCR-02 V; SCR-03 V/B; SCR-07 E; SCR-09 A",Episode attachment and recovery,Sprint 3 FM-17; Sprint 2 system-of-record table,Reviewed
FM-18,Owner and SLA context,Internal task accountability shows owner assignment age due context and escalation without automating human decisions,Care Coordinator and workflow rules,"continuum_task.owner; due_at; assigned_at; escalation_level",Required for active task or exception work,Internal read and controlled write,"Care Coordinator assigns or reassigns operational task; assigned Clinic physician acts on review; exception owner resolves",Owner role assignment time and due context are required; reassignment must retain linked history,Create visible escalation or exception for missing unavailable or overdue owner; do not infer acknowledgement,"EVT-09 assignment evidence and task audit history","SCR-02 V; SCR-03 V/B; SCR-07 E; SCR-09 A",Clinical Review Pending; exception queue; EVT-09,Sprint 3 FM-18; Sprint 2 DR18; Sprint 4 event contract,Reviewed
FM-19,Exception evidence,Reason-coded blocker owner prohibited action and safe-return condition keep unsafe work visible and recoverable,Exception-specific accountable human; Care Coordinator coordinates,"continuum_task.reason; exception_type; safe_return_condition; blocker",Required for every exception state or represented failure,Internal read and authorised resolution write,"Care Coordinator views and coordinates; exception-specific accountable role resolves; Product/platform administrator resolves technical recovery",Exception must retain affected state owner prohibited action and verified return condition,Remain open with no progression until verified resolution; return to last verified safe state,"EVT-19 deterministic exception and EVT-21 recovery with reason actor evidence and return state","SCR-02 V; SCR-03 B; SCR-04 B; SCR-05 B; SCR-06 B; SCR-07 V/E; SCR-08 B; SCR-09 A; SCR-10 B",All exception states; EVT-19 EVT-21,Sprint 3 FM-19; Sprint 2 failure map; Sprint 4 recovery rules,Reviewed
FM-20,Human decision evidence,Attributable human decision records the action role time outcome source version and evidence,Accountable human role; ContinuumOS records evidence,"decision.actor; decision_type; decision_time; decision_outcome; source_reference",Required for acknowledgement direction receiving response and closure; represent-only where financial,Internal write by authorised role; read role-limited,"Clinic physician acknowledges and directs; receiving team decides response; Care Coordinator records confirmation and closure; authorised financial role remains represent-only",Actor role current report version and required evidence must match the decision type,Keep state pending or route to exception when authority evidence or prerequisites are missing; no AI substitution,"EVT-10 acknowledgement; EVT-11 direction; EVT-14 response; EVT-16 confirmation; EVT-22 closure","SCR-03 E/B; SCR-04 E/B; SCR-06 E/B; SCR-07 V/E; SCR-09 A; SCR-10 E/B",Human gates and attributed decision events,Sprint 3 FM-20; Sprint 2 decision rights; Sprint 4 event catalogue,Reviewed
FM-21,Handoff readiness,Internal referral preparation shows destination required fields readiness and routing evidence without equating it to receiving acceptance,Referral Coordinator; clinic physician approves applicable clinical content,"referral.destination; required_fields; readiness_status; routed_at",Required for referral or escalation route,Internal read and controlled write,"Referral Coordinator prepares approves and routes operational package; Clinic physician separately approves applicable clinical content; receiving team accepts or rejects",Approved direction destination required fields and approval evidence must be complete before package creation or routing,Disable routing and show gaps; do not auto-route redirect or imply acceptance,"EVT-12 package and EVT-13 send evidence including version destination approvals and time","SCR-05 V/E/B; SCR-06 V; SCR-07 E; SCR-08 V/E/B; SCR-09 A; SCR-10 V/B",Referral Created; EVT-12 EVT-13,Sprint 3 FM-21; Sprint 2 DR12-DR13; Sprint 4 event contract,Reviewed
FM-22,Next-step evidence,Verified owner destination or team timeframe task and approved communication reference support Next Step Confirmed,Accountable human roles provide evidence; Care Coordinator verifies,"next_step.owner; destination_or_team; timeframe; communication_ref",Required for Next Step Confirmed where applicable,Internal controlled write by Care Coordinator after evidence exists,"Care Coordinator verifies and records; Clinic physician and receiving team provide decision evidence; authorised communication owner records communication",Applicable owner destination timeframe handoff or response and communication evidence must be complete; financial path remains represent-only,Block confirmation with visible missing evidence; Care Coordinator cannot determine clinical safety or invent evidence,"EVT-16 confirmation linked to direction handoff response communication and source references","SCR-04 E/B for clinic-management T08; SCR-06 V; SCR-07 V/E; SCR-09 A; SCR-10 V/E/B",T08 clinic management or T11 referral confirmation; EVT-16 where applicable,Sprint 3 FM-22; Sprint 1 T08 T11 T11U; Sprint 4 event contract,Reviewed
FM-23,Scoped closure evidence,Applicable disposition handoff owner receiving response communication confirmation exception and source evidence enable diagnostic-closure workflow completion,Care Coordinator after human-owned T14 conditions,"closure.disposition; handoff_status_or_na; next_step_owner; receiving_response; communication_ref; confirmation_ref; blocking_exception_check; source_refs; workflow_refs; closed_by; closed_at",Required for Episode Completed,Internal controlled write by Care Coordinator,"Care Coordinator performs closure action only after applicable evidence exists; authorised reviewers view",Next Step Confirmed plus complete applicable closure checklist and no unresolved safety-blocking exception are required,Disable closure and open exception route for missing evidence; never auto-close,"EVT-22 closure checklist closer time and linked evidence references","SCR-04 V for completed T08 path; SCR-07 V/E; SCR-09 A; SCR-10 V/E/B",T14 Episode Completed; EVT-22,Sprint 3 FM-23; Sprint 1 T14 D17; Sprint 4 event and audit contracts,Reviewed
FM-24,Audit correction and correlation,Append-oriented internal audit retains attributable source and workflow history including linked corrections and recovery,ContinuumOS platform records; administrator monitors; governance reviews,"audit.event_id; correlation_id; actor_ref; source_ref; state_before; state_after; timestamp; correction_of; supersedes_ref",Required for every material event and correction,Platform-generated target behaviour; no destructive user edit,"Governance Product/platform administrator and authorised operational reviewer view",Each material event needs attribution outcome time source or version reference and correlation; corrections must link rather than overwrite,Failed or unavailable audit write remains visible as pending or failed; correction creates linked entry,"EVT-01 to EVT-22 with append correction and recovery links","SCR-02 V; SCR-03 V; SCR-04 V; SCR-05 V; SCR-06 V; SCR-07 V; SCR-08 V; SCR-09 V; SCR-10 V",All material events and audit trace,Sprint 3 FM-24; Sprint 4 audit contract; D15 D16,Reviewed
FM-25,AI draft and review workflow evidence,Minimum provenance and human disposition evidence controls optional AI orientation or handoff drafts,ContinuumOS AI support and authorised human reviewer,"ai_output.capability_id; draft_ref; source_refs; source_versions; uncertainty; generated_at; status; reviewer; disposition; reviewed_at; failure_reason",Required only when AI-01 or AI-02 is requested or displayed,Internal workflow evidence write; no source write,"Clinic physician or Care Coordinator reviews AI-01 orientation; Referral Coordinator reviews AI-02 use; Clinic physician separately approves applicable clinical content",Verified linkage current inputs source links versions and authorised entry condition are required; stale or unsupported content cannot be accepted,Record unavailable timeout stale missing link wrong patient or unsupported output then continue source-based manual work,"EVT-20 capability provenance source versions reviewer disposition and failure reason","SCR-02 V; SCR-03 V/E; SCR-05 V/E; SCR-07 V; SCR-08 V/E/B; SCR-09 A",AI-01 orientation and AI-02 post-approval draft; EVT-20,Sprint 3 FM-25; Sprint 4 AI service cards and audit contract,Reviewed
FM-26,Communication and confirmation evidence,Separate approved content delivery follow-up and explicit confirmation evidence prevents delivery being mistaken for understanding or closure,Clinic physician approves clinical content; authorised communication owner sends or records; Care Coordinator verifies,"communication.prepared_at; approved_by; approval_status; send_attempted_at; delivery_status; failure_reason; follow_up_status; confirmation_required; confirmation_status; confirmed_at",Required where pathway policy requires communication or confirmation evidence,Internal workflow evidence write; no live communication integration,"Clinic physician approves applicable clinical content; authorised communication owner records delivery; Care Coordinator verifies closure evidence",Approval delivery and explicit confirmation are distinct; applicability must be recorded; sent or delivered never becomes confirmation,Preserve failure or unresolved question and keep workflow open; missing required evidence blocks confirmation or closure,"EVT-17 delivery evidence and EVT-18 patient confirmation linked to EVT-16 or EVT-22","SCR-04 E/B for applicable T08 evidence; SCR-05 V/B; SCR-07 V/E; SCR-09 A; SCR-10 V/E/B",Communication and confirmation separation; EVT-17 EVT-18,Sprint 3 FM-26; Sprint 1 T08 T11 T11U T14; Sprint 4 D17,Reviewed
