"decision_id","decision_category","decision_or_right","accountable_role","performing_role","consulted_roles","continuumos_or_ai_boundary","human_control_required","evidence_status","scope","source_trace","open_question"
"DR11","Human decision","Accept or reject referral or escalation handoff","Receiving team","Receiving team","Referral Coordinator; Clinic physician; Care Coordinator","AI cannot accept, reject or redirect a referral; ContinuumOS or Referral Coordinator may record the received response","Yes","Product decision","Build now","ownership_matrix.md; state_transition_table.csv T10 E08-E09","Validate receiving-team evidence"
"DR12","AI-assisted draft","Prepare source-linked referral handoff draft after approved referral or escalation","Referral Coordinator","AI draft / Referral Coordinator review","Clinic physician; Care Coordinator; Receiving team","AI may draft only after human-approved referral or escalation; it cannot create, send or approve the referral","Yes for operational use","Product decision; pilot hypothesis for evaluation","Build now; validate later","decision_register.csv D06-D07; assumption_register.csv A07","Define mandatory handoff fields"
"DR13","Human decision","Approve referral-handoff package for operational use","Referral Coordinator","Referral Coordinator records approval","Clinic physician; Care Coordinator; Receiving team","An AI-generated package requires human review and approval before routing or operational use; the clinic physician separately approves patient-facing clinical content where clinically contextual","Yes","Product decision","Build now","decision_register.csv D07; assumption_register.csv A07","Define approval and rejection reason codes"
"DR14","Human decision","Approve patient-facing clinical content","Clinic physician","Clinic physician approves content; Care Coordinator records approval","Care Coordinator; Referral Coordinator","AI may draft patient-facing content, but no clinical content is used without physician approval","Yes","Product decision","Build now","decision_register.csv D07; assumption_register.csv A09","Define approval and rejection reason codes"
"DR15","Human decision","Approve final financial authorisation","Authorised financial decision-maker","Billing/pre-authorisation user","Clinic physician; Referral Coordinator; Care Coordinator","ContinuumOS may show Financial Readiness Pending, readiness and blockers; it cannot authorise payment or infer coverage","Yes","Product decision","Represent only","decision_register.csv D03-D05; assumption_register.csv A08; state_transition_table.csv T12-T13","Validate prerequisite ordering"
"DR16","Human decision","Determine alternative clinical pathway after financial denial","Clinic physician","Clinic physician","Care Coordinator; Referral Coordinator; Billing/pre-authorisation user","AI may summarise denial context but cannot select a clinical alternative or confirm next step","Yes","Product decision","Build now","state_transition_table.csv E11-E12; care_episode_operating_model.md","Define escalation ownership"
"DR17","Human decision","Determine permissible financial or administrative option after denial","Authorised financial decision-maker","Billing/pre-authorisation user","Clinic physician; Referral Coordinator; Care Coordinator","The financial role may explain administrative options but cannot select the clinical pathway or authorise care autonomously","Yes","Product decision","Represent only","decision_register.csv D03-D05; state_transition_table.csv E11-E12","Define administrative decision evidence"
"DR18","System-enforced workflow rule","Create tasks, assign owners, flag ageing and escalate overdue work","Care Coordinator","Care Coordinator / ContinuumOS","Relevant workflow owners; service operations lead","Deterministic rules manage visibility and escalation; they cannot acknowledge, accept or confirm","No for visibility; Yes for gated action","Product decision","Build now","assumption_register.csv A02-A03; ownership_matrix.md","Validate owner coverage and ageing"
"DR19","Human decision","Confirm the next safe care step and close the MVP workflow","Care Coordinator","Care Coordinator / ContinuumOS records evidence","Clinic physician; Referral Coordinator; Receiving team; Billing/pre-authorisation user","ContinuumOS checks evidence and records confirmation and Episode Completed; it cannot confirm with missing evidence or close broader care","Yes","Product decision","Build now","decision_register.csv D10; state_transition_table.csv T08 T11 T13 T14","Agree closure evidence checklist"
"DR20","AI-assisted draft","Generate source-linked episode summary for human review","Care Coordinator","AI draft / Care Coordinator or clinician review","Clinic physician; relevant workflow owner","AI may summarise only approved source-linked information and must expose source references; it cannot diagnose or determine urgency","Yes before operational reliance","Product decision; pilot hypothesis for evaluation","Build now; validate later","decision_register.csv D05-D07; assumption_register.csv A05 A12","Define assertion-level source-linkage review"
"DR21","System-enforced workflow rule","Recover technical access or workflow service and reconcile affected work","Product/platform administrator","Product/platform administrator","Care Coordinator; affected source owner; service operations lead","Technical recovery controls verify source status, prevent duplicate replay and return to the last verified valid state; they cannot claim source success without evidence","Yes for reconciliation and safe return","Proposed capability","Represent only","state_transition_table.csv E13; care_episode_operating_model.md","Define manual recovery and idempotency evidence"
