transition_id,from_state,trigger_or_condition,to_state,action_class,accountable_owner,human_control_required,notes
T11,Referral Accepted,Path has no financial-readiness requirement and all pathway-specific next-step evidence is present,Next Step Confirmed,"Human confirmation with system-recorded transition",Care Coordinator,Yes,"The Care Coordinator verifies named destination, timeframe, receiving response and required communication or explicit confirmation evidence; the system only marks the state. Sent or delivered alone does not prove understanding or acceptance."
T11U,Referral Accepted,"Urgent human-approved hospital escalation has clinical direction, receiving-team handoff, accountable owner, timeframe and required patient communication or confirmation evidence recorded",Next Step Confirmed,Human decision,Clinic physician,Yes,"Financial Readiness Pending remains visible and unresolved as a separately owned dependency; it does not block urgent clinical progression. The Care Coordinator verifies pathway-specific evidence before the system records the state."
T12,Referral Accepted,Selected planned path requires administrative readiness after clinical and referral prerequisites,Financial Readiness Pending,System action,Care Coordinator,No,The Billing/pre-authorisation user prepares, submits and tracks readiness work. This state represents supporting work and does not authorise care.
T13,Financial Readiness Pending,Authorised financial decision-maker records final financial authorisation and all planned-path closure conditions are complete,Next Step Confirmed,Human confirmation,Authorised financial decision-maker,Yes,The Billing/pre-authorisation user prepares, submits and tracks the readiness work; the Authorised financial decision-maker records the final decision; the Care Coordinator verifies pathway closure conditions before the system marks the episode confirmed.
T14,Next Step Confirmed,"Human disposition is recorded; required handoff is complete or not applicable; next-step owner and receiving response are recorded where required; required communication or explicit confirmation evidence is recorded; no safety-blocking exception remains; and source/workflow references are complete",Episode Completed,Human decision,Care Coordinator,Yes,"The Care Coordinator performs the human-owned closure action with actor and timestamp. A deterministic rule may test completeness but cannot close the workflow. Audit corrections create linked entries rather than overwriting history."
E01,Any active state,Patient cannot be matched under defined rules,Patient Match Failed,System action,Identity reconciliation reviewer,Yes,Do not attach the event; return only after human match confirmation.
E02,Any active state,Required encounter cannot be confirmed,Encounter Missing,System action,Identity reconciliation reviewer,Yes,Hold progression until encounter reconciliation is complete.
E03,Any active state,Repeated order completion or result event is suspected,Duplicate Event Suspected,System action,Diagnostic operations user / Care Coordinator,Yes,Preserve all events and resolve through human review before returning to the appropriate state.
E04,Diagnostic Completed or Result Available,"For the approved synthetic fixture, accepted report status/version, configured referenced result evidence or separate source-specific completion evidence is missing or inconsistent",Result Incomplete,System action,Diagnostic operations user,No,"Observation or preliminary/partial evidence alone cannot establish Result Available. Return only when the current report and configured fixture evidence satisfy T04."
E05,Result Available or Clinical Review Pending or Result Acknowledged,New amended or corrected report version is received,Amended Result Received,System action,Diagnostic operations user / Clinic physician,No,"Preserve all versions and prior acknowledgement history. Do not carry a prior acknowledgement forward as valid for the amended/corrected version; flag downstream referral or patient communication based on the older version for human reassessment."
E06,Amended Result Received,Amended or corrected report version is routed for renewed review,Clinical Review Pending,System action,Clinic physician,No,"A new clinician acknowledgement is required for the current amended/corrected version. If a prior acknowledgement existed, it remains historical evidence only; affected follow-up direction, referral and patient communication require human reassessment before further reliance."
E07,Clinical Review Pending or Follow-up Decision Required,Assigned clinician cannot act within the defined operating policy,Clinician Unavailable,System action,Authorised clinical escalation owner,Yes,The authorised clinical escalation owner assigns approved coverage; the new clinician independently reviews source evidence. The Care Coordinator tracks the workflow.
E08,Referral Created,Receiving team rejects the referral or requests a materially different route,Referral Rejected,Human decision,Receiving team,Yes,The receiving team records the rejection; the Referral Coordinator tracks it and the responsible clinician records any new direction. Do not redirect automatically.
E09,Referral Rejected,Responsible clinician selects an alternative care direction,Follow-up Decision Required,Human decision,Clinic physician,Yes,A new referral may be created only after a new human decision.
E10,Financial Readiness Pending,Required administrative information is absent,Payer Information Missing,System action,Billing/pre-authorisation user,No,Remain blocked in Financial Readiness Pending until the missing information is reconciled.
E11,Financial Readiness Pending,Selected administrative route is denied,Authorisation Denied,Human decision,Authorised financial decision-maker,Yes,The Authorised financial decision-maker records the administrative denial; the Billing/pre-authorisation user records the submission and response evidence. Route to a human-controlled alternative decision; submission or denial is not a confirmed next step.
E12,Authorisation Denied,Responsible clinician records an alternative clinical direction,Follow-up Decision Required,Human decision,Clinic physician,Yes,Do not automatically select a clinical or administrative alternative. Any separate administrative option remains subject to the Authorised financial decision-maker.
E13,Any active state,Required source system or simulated interface is unavailable,Integration Unavailable,System action,Product/platform administrator / operational owner,Yes for reconciliation and safe return,Entering the exception can be automatic; use approved manual reconciliation and return only after source data is verified.
