"field_id","workflow_need","resource_or_internal_field","minimum_data","source_or_owner","continuumos_use","read_write_class","required_for_states_or_decisions","failure_handling","sensitivity_or_permission_note","source_trace"
"FM-10","Observation value and timing","Observation.code; Observation.effective[x]; Observation.issued; Observation.basedOn; Observation.performer; Observation.value[x] where present; Observation.component where applicable","Synthetic finding/value or structured components, effective time and issued time","Diagnostic source system","Display minimum source-linked supporting evidence for human review","Read source; no AI resolution of conflict","Result Available; Clinical Review Pending","Route missing, conflicting or unexpected referenced evidence to Result Incomplete or human source review; Observation presence alone is insufficient","Minimum-necessary retrieval; do not copy complete source records","Sprint 1 T04/E04; D14/D15; Sprint 2 failure_path_map.md"
"FM-11","Report identity and version","DiagnosticReport.id; DiagnosticReport.meta.versionId; DiagnosticReport.meta.lastUpdated; DiagnosticReport.status; DiagnosticReport.basedOn","Report ID, technical version, last-updated time, report status and order link","Authorised reporting source/professional","Track current report, amendment/correction history, T04 status/version and link back to ServiceRequest","Read source; internal version/reference record","Result Available; Result Incomplete; Amended Result Received","Preserve prior/current versions; require renewed review after amended/corrected report; a prior acknowledgement remains historical evidence only; flag affected referral/handoff and communication evidence for human reassessment","meta.versionId is technical version; status is report workflow status; re-review is ContinuumOS policy; minimum necessary fields only","Sprint 1 T04-T06/E04-E06; D14/D15; Sprint 4 version-change contract"
"FM-12","Report status, code and source completion condition","DiagnosticReport.status; DiagnosticReport.code; separate approved fixture completion event/rule","Accepted status final/amended/corrected for the approved synthetic fixture, diagnostic code and separate source-specific completion evidence","Authorised reporting source/professional; diagnostic operations records source condition","Determine whether the current report meets the fixture-specific T04 Result Available evidence rule without inferring Diagnostic Completed","Read source; internal evidence reference; no report write","Result Available; Result Incomplete","Observation or preliminary/partial evidence alone is insufficient; unmet completion condition or unexpected/missing configured fixture evidence routes to Result Incomplete","No clinical interpretation by platform; this is a fixture rule, not a universal FHIR requirement, and must be reviewed before adapting to another source policy","Sprint 1 T04/E04; D14; Sprint 2 DR08"
"FM-13","Report subject, encounter and linkage evidence","DiagnosticReport.subject; DiagnosticReport.encounter; source identifiers/version references","Patient, encounter and event references required by the linkage contract","Authorised reporting source; Identity reconciliation reviewer for uncertainty","Verify report linkage under the defined contract before display/attachment","Read source; internal linkage reference","Patient Match Failed; Encounter Missing; Result Available","Hold attachment or route to reconciliation; manual reconciliation may establish only an internal reference and cannot alter source records","No autonomous patient matching; minimum identifiers only","Sprint 2 DR03/E01-E02; D18"
"FM-14","Report and configured fixture result references","DiagnosticReport.basedOn; DiagnosticReport.result; referenced Observation.id/status/version where configured","Source order link, configured supporting result references and evidence that references resolve","Authorised reporting source","Link the current report to ServiceRequest and configured supporting evidence; support the fixture-specific T04 completeness test and source-linked review/AI output","Read source; no source overwrite","Result Available; Result Incomplete; Clinical Review Pending","Missing, inconsistent or unexpected configured references route to Result Incomplete; no silent selection or completion inference","This approved fixture rule does not claim every FHIR DiagnosticReport requires an Observation reference; AI source links must resolve to approved minimum source records","Sprint 1 T04/E04; D14/D15; failure_path_map.md"
"FM-15","Report performer context","DiagnosticReport.performer","Reporting professional/source reference","Authorised reporting source","Display reporting context and route source questions","Read source; role policy controls authority","Clinical Review Pending; Amended Result Received","Missing performer context remains visible; no inferred authorisation","Does not create or alter permissions","Sprint 3 stakeholder_map.md"
"FM-16","Workflow state","Internal continuum_episode.state","One canonical state value from approved state model","ContinuumOS workflow; transition rules","Display and coordinate workflow state","Internal read/write; not source clinical record","All core and exception states","Only approved transitions; recovery to last verified state","State changes require evidence and audit record","Sprint 2 care_episode_operating_model.md; state_transition_table.csv"
"FM-17","Episode linkage","Internal continuum_episode.patient_ref; encounter_ref","Verified synthetic patient and encounter references","ContinuumOS after human reconciliation","Link internal episode to source context","Internal read/write","Active episode workspace","Uncertain linkage blocks episode validity","No production identity matching","Sprint 2 system_of_record_table.csv"
"FM-18","Owner and SLA","Internal continuum_task.owner; due_at; assigned_at; escalation_level","Role, owner, assignment time, due time and escalation state","Care Coordinator; workflow rules","Show accountability and ageing","Internal read/write","Owner assignment; Clinical Review Pending; exception queue","Missing owner/overdue routes to deterministic detection","Internal orchestration fields; not a claim of FHIR Task conformance; access limited to workflow coordination roles","Sprint 2 DR18; CAP-05/CAP-11"
"FM-19","Exception evidence","Internal continuum_task.reason; exception_type; safe_return_condition; blocker","Reason, owner, prohibited action, safe return and blocker","Exception-specific accountable human; Care Coordinator coordinates","Make exception visible and recoverable","Internal read/write; human resolution","All exception states and reason-coded conditions","No silent valid episode or source-success claim","Internal orchestration fields; sensitive operational context remains role-limited","Sprint 2 failure_path_map.md"
"FM-20","Human decision evidence","Internal decision.actor; decision_type; decision_time; decision_outcome; source_reference","Actor, role, decision, time, source/report version and evidence","Clinic physician, receiving team, financial decision-maker or other accountable role","Record attributable decision and support audit","Internal write by authorised role; read role-limited","Acknowledgement; follow-up direction; referral acceptance; financial decision; closure","Missing human decision keeps state pending","Human gate; no AI substitution","Sprint 2 decision_rights_matrix.csv"
"FM-21","Handoff readiness","Internal referral.destination; required_fields; readiness_status; routed_at","Destination, required fields, operational readiness and route time","Referral Coordinator; physician approves clinical direction/content","Prepare and route operationally complete handoff","Internal read/write by Referral Coordinator; clinical content approval separate","Referral Created; Referral Accepted; Referral Rejected","Missing fields remain visible; no auto-route or redirect","Destination/timeframe may be externally confirmed and recorded","Sprint 2 DR12-DR13; integration_flow_ehr_launch_to_audit.md"
"FM-22","Next-step evidence","Internal next_step.owner; destination_or_team; timeframe; communication_ref","Verified owner, destination/team, timeframe, task and approved communication reference","Clinic physician/receiving team provide decisions; Care Coordinator verifies","Record evidence for Next Step Confirmed","Internal write by Care Coordinator after evidence exists","Next Step Confirmed","Do not determine clinical safety or confirm with missing evidence","Human-owned prerequisites","Sprint 1 T08/T11/T11U; D12"
"FM-23","Scoped closure evidence","Internal closure.disposition; handoff_status_or_na; next_step_owner; receiving_response; communication_ref; confirmation_ref; blocking_exception_check; source_refs; workflow_refs; closed_by; closed_at","Applicable human disposition, handoff, owner, receiving response, communication/confirmation, exception check, evidence references, accountable closer and time","Care Coordinator after T14 human-owned conditions","Test completeness deterministically and record scoped Episode Completed only after the human closure action","Internal write by Care Coordinator; platform records event","Episode Completed","Missing evidence or unresolved safety-blocking exception prevents closure; no auto-close","Closure is workflow completion, not clinical completion; sent/delivered alone is not confirmation","Sprint 1 T14; D17"
"FM-24","Audit, correction and correlation","Internal audit.event_id; correlation_id; actor_ref; source_ref; state_before; state_after; timestamp; correction_of; supersedes_ref","Attribution, source/version, transition, time, outcome, linked correction/superseding reference and target integrity metadata","Platform records; administrator monitors; governance reviews","Support append-oriented traceability, correction and recovery without destructive edits","Platform-generated target requirement; not implemented evidence","All material events","Failed/unavailable writes remain pending/failed; corrections append linked entries","Never store raw token, secret or unnecessary source payload","integration_flow_ehr_launch_to_audit.md; D15/D16"
"FM-25","AI draft and review workflow evidence","Internal ai_output.capability_id; draft_ref; source_refs; source_versions; uncertainty; generated_at; status; reviewer; disposition; reviewed_at; failure_reason","Reference to controlled draft, minimum approved provenance, uncertainty, workflow-visible review status and failure evidence","ContinuumOS AI support for draft; authorised human reviewer for disposition","Display the draft/review state and fall back to source evidence and normal human workflow on failure or timeout","Internal workflow evidence write; no source write","Clinical Review Pending; Referral Created; AI review evidence","Failure or timeout is recorded but does not block an otherwise valid human action or transition","Do not copy complete source documents; real model calls remain deferred","D13/D15; Sprint 3 CAP-10/CAP-12"
"FM-26","Communication and confirmation evidence","Internal communication.prepared_at; approved_by; approval_status; send_attempted_at; delivery_status; failure_reason; follow_up_status; confirmation_required; confirmation_status; confirmed_at","Separate preparation, approval, send attempt, delivery, failure, follow-up and explicit confirmation fields","Clinic physician approves clinical content; authorised communication owner sends/records; Care Coordinator verifies closure evidence","Keep transport status distinct from patient understanding/acceptance and reference required evidence in next-step/closure checks","Internal workflow evidence write; no live communication integration","Next Step Confirmed; Episode Completed","Sent or delivered cannot satisfy required confirmation; missing required evidence keeps closure incomplete","Minimum necessary communication metadata; content remains approved and role-limited","D17; Sprint 1 T08/T11/T11U/T14"
